sentence_id,domain,text,aspect_term,input_text,label,polarity
2339,laptops,I charge it at night and skip taking the cord with me because of the good battery life.,cord,[ASPECT] cord [SEP] I charge it at night and skip taking the cord with me because of the good battery life.,2,neutral
2339,laptops,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,[ASPECT] battery life [SEP] I charge it at night and skip taking the cord with me because of the good battery life.,0,positive
1316,laptops,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,"[ASPECT] service center [SEP] The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",1,negative
1316,laptops,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team","[ASPECT] ""sales"" team [SEP] The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",1,negative
1316,laptops,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,"[ASPECT] tech guy [SEP] The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",2,neutral
2005,laptops,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,"[ASPECT] quality [SEP] it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",0,positive
2005,laptops,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,"[ASPECT] GUI [SEP] it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",0,positive
2005,laptops,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,"[ASPECT] applications [SEP] it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",0,positive
2005,laptops,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,"[ASPECT] use [SEP] it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",0,positive
2789,laptops,Easy to start up and does not overheat as much as other laptops.,start up,[ASPECT] start up [SEP] Easy to start up and does not overheat as much as other laptops.,0,positive
76,laptops,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,"[ASPECT] features [SEP] I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",0,positive
76,laptops,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,"[ASPECT] iChat [SEP] I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",0,positive
76,laptops,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,"[ASPECT] Photobooth [SEP] I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",0,positive
76,laptops,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,"[ASPECT] garage band [SEP] I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",0,positive
80,laptops,Great laptop that offers many great features!,features,[ASPECT] features [SEP] Great laptop that offers many great features!,0,positive
917,laptops,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,"[ASPECT] GUI [SEP] One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",1,negative
917,laptops,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,"[ASPECT] screen [SEP] One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",1,negative
917,laptops,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,"[ASPECT] power light [SEP] One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",2,neutral
917,laptops,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,"[ASPECT] hard drive light [SEP] One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",1,negative
1630,laptops,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,[ASPECT] battery [SEP] I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,2,neutral
38,laptops,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,"[ASPECT] rubber enclosure [SEP] In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",0,positive
38,laptops,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,"[ASPECT] edge [SEP] In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",1,negative
337,laptops,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,"[ASPECT] multi-touch gestures [SEP] However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",0,positive
337,laptops,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,"[ASPECT] tracking area [SEP] However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",0,positive
337,laptops,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,"[ASPECT] external mouse [SEP] However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",2,neutral
337,laptops,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,"[ASPECT] gaming [SEP] However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",2,neutral
2568,laptops,I love the way the entire suite of software works together.,suite of software,[ASPECT] suite of software [SEP] I love the way the entire suite of software works together.,0,positive
295,laptops,The speed is incredible and I am more than satisfied.,speed,[ASPECT] speed [SEP] The speed is incredible and I am more than satisfied.,0,positive
